쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
개포1동주민센터,한파쉼터,주민센터,서울특별시 강남구 개포로 303,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,102,15,Y,"['한파', '눈']",실내,,,,37.48328034,127.0543931
경남아경로당,한파쉼터,노인시설,서울특별시 강남구 언주로 110,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,42,13,Y,"['한파', '눈']",실내,,,,37.48540594,127.05471
개포하늘꿈도서관,한파쉼터,문화시설,서울특별시 강남구 개포로110길 54,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,33,10,Y,"['한파', '눈']",실내,,,,37.49066929,127.0803569
개포2동주민센터,한파쉼터,주민센터,서울특별시 강남구 개포로 511,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,117.42,36,Y,"['한파', '눈']",실내,,,,37.48978362,127.0690768
강남종합사회복지관,한파쉼터,복지회관,서울특별시 강남구 개포로109길 5,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,69.31,21,Y,"['한파', '눈']",실내,,,,37.492322,127.0746012
일원1동주민센터,한파쉼터,주민센터,서울특별시 강남구 개포로 615,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,59,18,Y,"['한파', '눈']",실내,,,,37.49265809,127.0755825
개포3동주민센터,한파쉼터,주민센터,서울특별시 강남구 개포로 615,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,847.74,60,Y,"['한파', '눈']",실내,,,,37.49265809,127.0755825
능인종합사회복지관,한파쉼터,복지회관,서울특별시 강남구 양재대로 340,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,223,40,Y,"['한파', '눈']",실내,,,,37.47167795,127.0525917
밀미리경로당,한파쉼터,노인시설,서울특별시 강남구 개포로31길 31,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,113,34,Y,"['한파', '눈']",실내,,,,37.48099644,127.0486645
포이경로당,한파쉼터,노인시설,서울특별시 강남구 개포로20길 48,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,64,19,Y,"['한파', '눈']",실내,,,,37.47602964,127.0492692
